Date,DJIA
1/23/2004,10568.29
1/26/2004,10702.51
1/27/2004,10609.92
1/28/2004,10468.37
1/29/2004,10510.49
1/30/2004,10488.07
2/2/2004,10499.18
2/3/2004,10505.18
2/4/2004,10470.74
2/5/2004,10495.55
2/6/2004,10593.03
2/9/2004,10579.03
2/10/2004,10613.85
2/11/2004,10737.7
2/12/2004,10694.07
2/13/2004,10627.85
2/17/2004,10714.88
2/18/2004,10671.99
2/19/2004,10664.73
2/20/2004,10619.03
2/23/2004,10609.62
2/24/2004,10566.37
2/25/2004,10601.62
2/26/2004,10580.14
2/27/2004,10583.92
3/1/2004,10678.14
3/2/2004,10591.48
3/3/2004,10593.11
3/4/2004,10588
3/5/2004,10595.55
3/8/2004,10529.48
3/9/2004,10456.96
3/10/2004,10296.89
3/11/2004,10128.38
3/12/2004,10240.08
3/15/2004,10102.89
3/16/2004,10184.67
3/17/2004,10300.3
3/18/2004,10295.78
3/19/2004,10186.5
3/22/2004,10064.75
3/23/2004,10063.64
3/24/2004,10048.23
3/25/2004,10218.82
3/26/2004,10212.97
3/29/2004,10329.63
3/30/2004,10381.7
3/31/2004,10357.7
4/1/2004,10373.33
4/2/2004,10470.59
4/5/2004,10558.37
4/6/2004,10570.81
4/7/2004,10480.15
4/8/2004,10442.03
4/12/2004,10515.56
4/13/2004,10381.28
4/14/2004,10377.95
4/15/2004,10397.46
4/16/2004,10451.97
4/19/2004,10437.85
4/20/2004,10314.5
4/21/2004,10317.27
4/22/2004,10461.2
4/23/2004,10472.84
4/26/2004,10444.73
4/27/2004,10478.16
4/28/2004,10342.6
4/29/2004,10272.27
4/30/2004,10225.57
5/3/2004,10314
5/4/2004,10317.2
5/5/2004,10310.95
5/6/2004,10241.26
5/7/2004,10117.34
5/10/2004,9990.02
5/11/2004,10019.47
5/12/2004,10045.16
5/13/2004,10010.74
5/14/2004,10012.87
5/17/2004,9906.91
5/18/2004,9968.51
5/19/2004,9937.71
5/20/2004,9937.64
5/21/2004,9966.74
5/24/2004,9958.43
5/25/2004,10117.62
5/26/2004,10109.89
5/27/2004,10205.2
5/28/2004,10188.45
6/1/2004,10202.65
6/2/2004,10262.97
6/3/2004,10195.91
6/4/2004,10242.82
6/7/2004,10391.08
6/8/2004,10432.52
6/9/2004,10368.44
6/10/2004,10410.1
6/14/2004,10334.73
6/15/2004,10380.43
6/16/2004,10379.58
6/17/2004,10377.52
6/18/2004,10416.41
6/21/2004,10371.47
6/22/2004,10395.07
6/23/2004,10479.97
6/24/2004,10443.81
6/25/2004,10371.84
6/28/2004,10357.09
6/29/2004,10413.43
6/30/2004,10435.48
7/1/2004,10334.16
7/2/2004,10282.83
7/6/2004,10219.34
7/7/2004,10240.29
7/8/2004,10171.56
7/9/2004,10213.22
7/12/2004,10238.22
7/13/2004,10247.59
7/14/2004,10208.8
7/15/2004,10163.16
7/16/2004,10139.78
7/19/2004,10094.06
7/20/2004,10149.07
7/21/2004,10046.13
7/22/2004,10050.33
7/23/2004,9962.22
7/26/2004,9961.92
7/27/2004,10085.14
7/28/2004,10117.07
7/29/2004,10129.24
7/30/2004,10139.71
8/2/2004,10179.16
8/3/2004,10120.24
8/4/2004,10126.51
8/5/2004,9963.03
8/6/2004,9815.33
8/9/2004,9814.66
8/10/2004,9947.67
8/11/2004,9938.32
8/12/2004,9814.59
8/13/2004,9825.35
8/16/2004,9954.55
8/17/2004,9972.83
8/18/2004,10083.15
